generos,data_lancamento,avaliacao_usuarios,receita,classificacao,titulo,streaming
"Any[""Ação"", ""Crime"", ""Drama"", ""Ficção científica""]",2021-09-03,6.4,0,Sem classificação,Mondocane,"[""Sem informações de streaming""]"
"Any[""Ficção científica"", ""Thriller""]",2014-08-28,7.4,4942449,16,O Predestinado,"[""HBO Max"", ""NOW"", ""Oi Play"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Drama"", ""Terror"", ""Thriller""]",2021-07-14,6.4,5000000,Sem classificação,Titane,"[""MUBI""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2021-07-01,6.6,65800000,14,Escape Room 2: Tensão Máxima,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Ficção científica""]",2024-05-22,0.0,0,,Planeta dos Macacos: O Reinado,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Comédia"", ""Fantasia""]",2019-12-04,6.9,801693929,12,Jumanji: Próxima Fase,"[""Netflix"", ""NOW"", ""Netflix basic with Ads""]"
"Any[""Terror"", ""Thriller""]",2012-10-23,5.4,0,Sem classificação,Pânico na Floresta 5: Linha de Sangue,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Fantasia""]",2014-12-12,5.5,114178613,12,O Sétimo Filho,"[""Globoplay""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2011-04-03,6.7,484635760,L,Rio,"[""Disney Plus""]"
"Any[""Comédia"", ""Drama"", ""Thriller""]",2019-07-24,7.4,374251247,16,Era Uma Vez em… Hollywood,"[""Paramount Plus"", ""NOW"", ""Starz Play Amazon Channel"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel "", ""Lionsgate Plus""]"
"Any[""Terror"", ""Thriller""]",2023-01-17,6.5,0,Sem classificação,Pesadelos Reais,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2003-07-02,6.9,80767884,L,Sinbad - A Lenda dos Sete Mares,"[""Oi Play""]"
"Any[""Animação"", ""Comédia"", ""Romance""]",2022-12-17,7.9,0,Sem classificação,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2020-08-22,7.2,365304105,14,Tenet,"[""Amazon Prime Video"", ""HBO Max"", ""Oi Play""]"
"Any[""Terror"", ""Thriller""]",2022-07-27,6.7,9572765,16,Órfã 2: A Origem,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Aventura"", ""Crime"", ""Thriller""]",2019-03-06,6.3,0,Sem classificação,Operação Fronteira,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Fantasia"", ""Terror"", ""Ficção científica"", ""Thriller""]",2007-12-25,5.2,130290885,14,Alien vs. Predador 2,"[""Star Plus""]"
"Any[""Animação"", ""Família""]",2000-05-19,6.5,354248063,L,Dinossauro,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Comédia"", ""Ficção científica""]",2002-07-03,6.4,445135288,L,MIB - Homens de Preto II,"[""HBO Max"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Crime"", ""Drama"", ""Thriller""]",2012-12-20,6.6,218340595,14,Jack Reacher: O Último Tiro,"[""Netflix"", ""Star Plus"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Aventura"", ""Comédia"", ""Família"", ""Cinema TV""]",2023-11-22,6.3,0,Sem classificação,Travessuras de Natal,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Thriller""]",2023-05-04,6.7,0,Sem classificação,A Mãe,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2023-08-31,6.7,0,,Presos na Floresta: Fuja Se For Capaz,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Família"", ""Fantasia"", ""Romance""]",1959-02-17,6.9,51600000,L,A Bela Adormecida,"[""Disney Plus""]"
"Any[""Ação"", ""Comédia"", ""Crime""]",2017-05-25,6.1,177856751,14,Baywatch: S.O.S. Malibu,"[""Netflix"", ""Globoplay"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Fantasia"", ""Ficção científica""]",2019-06-05,6.0,252442974,12,X-Men: Fênix Negra,"[""Disney Plus""]"
"Any[""Comédia"", ""Drama"", ""Romance"", ""Thriller""]",1996-11-15,5.5,0,Sem classificação,"Más que amor, frenesí","[""Sem informações de streaming""]"
"Any[""Documentário"", ""Música""]",2022-12-28,7.0,0,Sem classificação,Encanto no Hollywood Bowl,"[""Disney Plus""]"
"Any[""Ação"", ""Thriller""]",2017-09-21,6.7,0,Sem classificação,జై లవ కుశ,"[""Sun Nxt""]"
"Any[""Ação"", ""Terror""]",2012-09-27,4.5,0,Sem classificação,Mina Abandonada,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Romance"", ""Ficção científica""]",2016-12-21,6.9,303144152,12,Passageiros,"[""Amazon Prime Video"", ""Netflix"", ""Oi Play"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Terror"", ""Thriller""]",2021-06-30,7.0,76994245,16,Uma Noite de Crime:  A Fronteira,"[""Star Plus""]"
"Any[""Drama"", ""Família""]",2017-11-13,8.2,305937718,10,Extraordinário,"[""Amazon Prime Video"", ""Netflix"", ""Globoplay"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2010-06-30,4.7,319713881,10,O Último Mestre do Ar,"[""Netflix"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Crime"", ""Drama""]",1976-02-09,8.2,28600000,14,Taxi Driver: Motorista de Táxi,"[""Looke"", ""HBO Max"", ""Oldflix"", ""Looke Amazon Channel""]"
"Any[""Drama"", ""História"", ""Romance"", ""Guerra""]",2001-05-21,6.9,449220945,12,Pearl Harbor,"[""Star Plus""]"
"Any[""Drama"", ""Música"", ""Romance""]",2020-03-12,7.6,16069730,10,Enquanto Estivermos Juntos,"[""Globoplay""]"
"Any[""Drama""]",1985-11-21,7.1,300473716,14,Rocky IV,"[""Amazon Prime Video"", ""Paramount Plus"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Comédia"", ""Romance"", ""Cinema TV""]",2023-11-25,7.8,0,Sem classificação,Christmas in Notting Hill,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Romance""]",1977-10-14,4.4,0,Sem classificação,"Adeus, Emmanuelle","[""Sem informações de streaming""]"
"Any[""Terror"", ""Thriller""]",2022-06-22,7.7,161440742,16,O Telefone Preto,"[""Globoplay""]"
"Any[""Thriller""]",1982-12-03,6.2,0,Sem classificação,団鬼六　少女木馬責め,"[""Sem informações de streaming""]"
"Any[""Crime"", ""Terror"", ""Thriller""]",2006-10-26,6.4,164874275,18,Jogos Mortais III,"[""Amazon Prime Video"", ""Netflix"", ""Starz Play Amazon Channel"", ""Netflix basic with Ads"", ""Lionsgate Plus""]"
"Any[""Drama"", ""Fantasia"", ""Romance""]",1998-11-12,7.3,142940100,12,Encontro Marcado,"[""Globoplay""]"
"Any[""Drama"", ""Thriller""]",2023-09-15,4.2,0,Sem classificação,El cuco,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Comédia""]",2001-07-05,7.1,42776760,L,Kung Fu Futebol Clube,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Ficção científica""]",2004-07-15,6.9,347234916,10,"Eu, Robô","[""Star Plus""]"
"Any[""Crime"", ""Thriller""]",1992-09-02,8.1,2859750,16,Cães de Aluguel,"[""Looke"", ""Globoplay"", ""Looke Amazon Channel"", ""Lionsgate Plus""]"
"Any[""Terror"", ""Thriller""]",2012-10-23,5.4,0,Sem classificação,Pânico na Floresta 5: Linha de Sangue,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Romance"", ""Ficção científica""]",2004-03-19,8.1,72258126,14,Brilho Eterno de uma Mente sem Lembranças,"[""Sem informações de streaming""]"
"Any[""Comédia""]",2001-07-04,5.8,141220678,16,Todo Mundo em Pânico 2,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2012-06-06,6.6,746921274,L,Madagascar 3: Os Procurados,"[""Amazon Prime Video"", ""Paramount Plus"", ""Globoplay"", ""NOW"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Ação"", ""Drama""]",2015-11-25,7.4,173567581,12,Creed: Nascido para Lutar,"[""Amazon Prime Video"", ""MGM Amazon Channel"", ""Telecine Play""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",2006-10-04,8.2,291465000,18,Os Infiltrados,"[""Amazon Prime Video"", ""HBO Max"", ""NOW""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2017-10-11,6.2,1786396,Sem classificação,O Ritual,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Animação"", ""Ficção científica""]",2016-10-14,7.3,2238600,Sem classificação,Gantz: O,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Thriller"", ""Guerra""]",2008-01-24,6.7,113244290,18,Rambo IV,"[""Amazon Prime Video"", ""HBO Max""]"
"Any[""Ação"", ""Drama"", ""História"", ""Guerra""]",1995-05-24,7.9,213216216,16,Coração Valente,"[""Star Plus""]"
"Any[""Terror"", ""Mistério"", ""Ficção científica""]",2022-07-20,6.9,170823080,14,Não! Não Olhe!,"[""Globoplay""]"
"Any[""Ação"", ""Ficção científica""]",2014-07-25,6.4,458863600,16,Lucy,"[""Globoplay""]"
"Any[""Crime"", ""Terror"", ""Thriller""]",2007-10-25,6.2,139352633,18,Jogos Mortais IV,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Família"", ""Música""]",2023-11-21,8.0,0,Sem classificação,Hannah Waddingham - Em Casa Para o Natal,"[""Apple TV Plus""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",2014-10-23,7.7,50300000,14,O Abutre,"[""HBO Max""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2022-09-08,6.9,45352337,Sem classificação,Noites Brutais,"[""Amazon Prime Video""]"
"Any[""Comédia"", ""Família"", ""Fantasia""]",1996-08-02,7.2,33459416,L,Matilda,"[""HBO Max"", ""NOW"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Animação"", ""Família"", ""Fantasia""]",2008-07-19,7.7,202404009,L,Ponyo - Uma Amizade que Veio do Mar,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Drama"", ""Fantasia"", ""Romance""]",1987-10-15,6.7,0,Sem classificação,足本玉蒲團,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Família"", ""Fantasia""]",2016-05-25,6.6,299457024,L,Alice Através do Espelho,"[""Disney Plus""]"
"Any[""Terror""]",2009-02-11,5.8,91509154,18,Sexta-Feira 13,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação""]",2023-10-05,7.2,0,Sem classificação,Scarygirl,"[""HBO Max""]"
"Any[""Ação"", ""Comédia"", ""Terror""]",2023-08-03,6.8,0,Sem classificação,100 Coisas para Fazer Antes de Virar Zumbi,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Drama"", ""Ficção científica"", ""Thriller""]",2023-08-09,7.3,28900000,Sem classificação,Sobreviventes - Depois do Terremoto,"[""Sem informações de streaming""]"
"Any[""Mistério"", ""Ficção científica"", ""Thriller""]",2022-08-12,7.1,0,Sem classificação,Mulher?,"[""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Thriller""]",2023-10-19,6.5,0,Sem classificação,Sayen: A Rota Seca,"[""Amazon Prime Video""]"
"Any[""Drama""]",2021-10-08,6.3,0,Sem classificação,Pleasure,"[""MUBI""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Terror""]",2021-10-01,7.0,119815153,L,A Família Addams 2: Pé na Estrada,"[""Globoplay""]"
"Any[""Terror"", ""Thriller""]",2014-08-25,6.1,1169603,Sem classificação,Remanescentes: Esquecidos por Deus,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Terror"", ""Ficção científica"", ""Thriller""]",2016-03-10,7.0,110216998,14,"Rua Cloverfield, 10","[""Telecine Play""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2016-08-25,6.0,125729635,14,Assassino a Preço Fixo 2: A Ressurreição,"[""Globoplay""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2018-11-20,7.2,529323962,L,WiFi Ralph: Quebrando a Internet,"[""Disney Plus""]"
"Any[""Drama"", ""Guerra""]",1979-08-15,8.3,150000000,16,Apocalypse Now,"[""Globoplay"", ""NOW""]"
"Any[""Aventura"", ""Drama"", ""Família""]",2007-02-15,7.3,137587063,L,Ponte para Terabítia,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Thriller""]",2023-08-02,6.6,0,Sem classificação,Operação: Arma Secreta,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Aventura"", ""Animação"", ""Família""]",2014-12-12,7.3,0,L,Tinker Bell e o Monstro da Terra do Nunca,"[""Disney Plus""]"
"Any[""Drama"", ""História""]",2023-11-30,0.0,0,,Ferrari,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2011-01-13,6.5,51070807,16,Assassino à Preço Fixo,"[""Amazon Prime Video"", ""Looke"", ""Looke Amazon Channel""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",2006-10-04,8.2,291465000,18,Os Infiltrados,"[""Amazon Prime Video"", ""HBO Max"", ""NOW""]"
"Any[""Crime"", ""Drama"", ""Thriller""]",2002-05-22,7.2,6500000,18,Irreversível,"[""Telecine Play""]"
"Any[""Terror"", ""Thriller""]",2018-01-25,6.5,416300,Sem classificação,Aterrorizante,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Drama""]",2015-03-24,7.4,91709827,14,Nocaute,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Comédia"", ""Crime""]",1998-09-18,7.0,244721064,12,A Hora do Rush,"[""HBO Max""]"
"Any[""Família"", ""Fantasia"", ""Cinema TV""]",1998-09-08,6.0,0,Sem classificação,Gasparzinho e Wendy,"[""Sem informações de streaming""]"
"Any[""Ação"", ""História"", ""Guerra""]",2001-12-28,7.4,172989651,14,Falcão Negro em Perigo,"[""HBO Max"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Aventura"", ""Comédia"", ""Mistério""]",2002-06-14,6.1,275650703,,Scooby-Doo: O Filme,"[""HBO Max""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2017-03-23,6.3,142300000,10,Power Rangers,"[""Netflix"", ""Looke"", ""Globoplay"", ""Netflix basic with Ads""]"
"Any[""Drama"", ""Romance""]",2012-06-22,7.4,24016152,Sem classificação,Sou Louco Por Você,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Música""]",2004-11-16,6.3,8400000,Sem classificação,Uma Vida Sem Limites,"[""Amazon Prime Video"", ""Looke"", ""Looke Amazon Channel""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2018-07-04,6.9,622674139,12,Homem-Formiga e a Vespa,"[""Disney Plus""]"
"Any[""Drama"", ""Ficção científica"", ""Thriller""]",2019-11-08,7.0,1090116,Sem classificação,O Poço,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2015-01-14,5.6,0,Sem classificação,Carta Selvagem,"[""Amazon Prime Video"", ""HBO Max""]"
"Any[""Ação"", ""História"", ""Guerra""]",2001-12-28,7.4,172989651,14,Falcão Negro em Perigo,"[""HBO Max"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Ação"", ""Comédia""]",2015-03-05,5.0,0,Sem classificação,"Super Velozes, Mega Furiosos","[""Sem informações de streaming""]"
"Any[""Aventura"", ""Fantasia""]",2007-12-04,6.0,372234864,14,A Bússola de Ouro,"[""HBO Max""]"
"Any[""Drama""]",1974-05-22,5.8,0,Sem classificação,Appassionata,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Família"", ""Fantasia"", ""Ficção científica""]",1982-06-11,7.5,792965500,L,E.T.: O Extraterrestre,"[""Amazon Prime Video"", ""Globoplay"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2024-08-28,0.0,0,Sem classificação,Kraven: O Caçador,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Mistério""]",2011-04-13,6.5,97200000,14,Pânico 4,"[""Amazon Prime Video"", ""Globoplay""]"
"Any[""Drama""]",2006-12-14,7.9,307077295,L,À Procura da Felicidade,"[""Netflix"", ""Claro video"", ""Paramount Plus"", ""HBO Max"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel "", ""Univer Video""]"
"Any[""Comédia"", ""Drama"", ""Família"", ""Fantasia""]",1994-11-11,6.4,189833357,Sem classificação,Meu Papai é Noel,"[""Disney Plus""]"
"Any[""Drama""]",2011-08-09,8.2,216600000,12,Histórias Cruzadas,"[""Star Plus""]"
"Any[""Drama"", ""Romance""]",2011-12-07,6.0,0,Sem classificação,Hotel Desire,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Drama"", ""Mistério"", ""Thriller""]",2002-06-14,7.5,214034224,14,A Identidade Bourne,"[""Amazon Prime Video"", ""Star Plus"", ""Globoplay""]"
"Any[""Drama"", ""História"", ""Guerra""]",2022-12-02,7.9,0,Sem classificação,Emancipation: Uma História de Liberdade,"[""Apple TV Plus""]"
"Any[""Comédia"", ""Romance""]",2021-08-27,6.6,0,Sem classificação,Ele é Demais,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Ficção científica""]",2021-07-08,6.8,163692228,L,Space Jam: Um Novo Legado,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Drama"", ""Romance""]",1974-06-25,6.0,0,Sem classificação,Emmanuelle,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2003-07-02,6.1,435000000,14,O Exterminador do Futuro 3: A Rebelião das Máquinas,"[""Amazon Prime Video"", ""Netflix"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Terror"", ""Mistério"", ""Ficção científica""]",1982-06-25,8.1,19629760,16,O Enigma de Outro Mundo,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Família"", ""Fantasia""]",1939-08-15,7.6,33754967,L,O Mágico de Oz,"[""HBO Max""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2021-07-21,6.4,90146510,14,Tempo,"[""Star Plus""]"
"Any[""Comédia"", ""Drama"", ""Romance""]",2023-06-23,6.5,0,Sem classificação,Através da Minha Janela: Além-mar,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Drama""]",2023-01-27,0.0,0,Sem classificação,燕交,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Animação"", ""Comédia"", ""Família"", ""Ficção científica""]",2022-07-27,7.3,203000000,L,DC Liga dos Superpets,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Terror"", ""Thriller""]",1980-05-23,8.2,44781695,16,O Iluminado,"[""HBO Max"", ""Oi Play"", ""Telecine Play""]"
"Any[""Drama"", ""Mistério""]",2013-12-25,6.8,4934725,Sem classificação,Ninfomaniaca: Volume 2,"[""Netflix"", ""Looke"", ""Globoplay"", ""Netflix basic with Ads"", ""Telecine Play""]"
"Any[""Terror""]",1980-05-09,6.4,59800000,18,Sexta-Feira 13,"[""HBO Max""]"
"Any[""Ação"", ""Animação"", ""Romance""]",2014-12-06,7.8,19840000,10,The Last: Naruto O Filme,"[""Amazon Prime Video"", ""Claro video""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Música""]",2016-11-23,7.1,634151679,L,Sing - Quem Canta Seus Males Espanta,"[""Amazon Prime Video"", ""Netflix"", ""Globoplay"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Aventura"", ""Animação"", ""Família"", ""Fantasia""]",2022-06-24,7.4,0,Sem classificação,A Fera do Mar,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Guerra""]",2007-03-07,7.2,456082343,16,300,"[""Amazon Prime Video"", ""HBO Max""]"
"Any[""Ação"", ""Aventura"", ""Guerra""]",2023-04-14,7.3,0,Sem classificação,The Last Kingdom: Seven Kings Must Die,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2014-03-14,6.9,288885818,14,Divergente,"[""Amazon Prime Video"", ""Starz Play Amazon Channel"", ""Lionsgate Plus"", ""Telecine Play""]"
"Any[""Terror"", ""Thriller""]",2018-01-25,6.5,416300,Sem classificação,Aterrorizante,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Aventura""]",2014-07-23,5.8,244819862,14,Hercules,"[""Amazon Prime Video"", ""MGM Amazon Channel"", ""Telecine Play""]"
"Any[""Animação"", ""Família"", ""Fantasia""]",2022-11-18,6.7,0,Sem classificação,Scrooge: Um Conto de Natal,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Thriller""]",2010-05-22,7.6,0,Sem classificação,O Imbatível III: Redenção,"[""NOW""]"
"Any[""Crime"", ""Mistério"", ""Thriller""]",2023-04-06,7.0,200221,16,Sede Assassina,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Crime""]",2017-06-28,7.4,226945087,14,Em Ritmo de Fuga,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Crime"", ""Thriller""]",2001-12-07,7.4,450717150,12,Onze Homens e um Segredo,"[""HBO Max""]"
"Any[""Ação"", ""Thriller""]",2014-10-22,7.4,88761661,16,John Wick: De Volta ao Jogo,"[""Amazon Prime Video"", ""Globoplay"", ""NOW"", ""Telecine Play""]"
"Any[""Romance""]",2015-11-01,4.2,0,Sem classificação,맛있는 비행,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Fantasia"", ""Mistério""]",2001-01-19,7.8,7500000,14,Donnie Darko,"[""Amazon Prime Video"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura""]",1984-05-23,7.3,333000000,L,Indiana Jones e o Templo da Perdição,"[""Disney Plus"", ""Amazon Prime Video"", ""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Comédia"", ""Terror""]",1998-10-16,6.0,50671850,14,A Noiva de Chucky,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime""]",2010-03-22,7.1,96188903,Sem classificação,Kick-Ass: Quebrando Tudo,"[""Sem informações de streaming""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2019-01-03,6.5,155700000,14,Escape Room,"[""Amazon Prime Video""]"
"Any[""Drama"", ""Terror"", ""Thriller""]",2021-07-14,6.4,5000000,Sem classificação,Titane,"[""MUBI""]"
"Any[""Ação"", ""Thriller""]",2023-10-19,6.5,0,Sem classificação,Sayen: A Rota Seca,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2010-07-03,6.2,127200000,14,Predadores,"[""Star Plus""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família""]",2016-06-23,6.1,408579038,L,A Era do Gelo: O Big Bang,"[""Disney Plus""]"
"Any[""Terror""]",2021-11-09,5.5,0,Sem classificação,Lair,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Animação"", ""Família"", ""Ficção científica""]",2022-06-15,7.0,226425420,10,Lightyear,"[""Disney Plus""]"
"Any[""Comédia""]",2014-07-17,5.4,126069509,16,Sex Tape: Perdido na Nuvem,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Romance""]",2019-07-25,7.8,10054356,L,Sapatinho Vermelho e os Sete Anões,"[""Amazon Prime Video""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2000-03-31,7.2,76400000,Sem classificação,O Caminho para El Dorado,"[""Sem informações de streaming""]"
"Any[""Crime"", ""Drama"", ""Mistério"", ""Thriller""]",2007-03-02,7.5,84785914,16,Zodíaco,"[""HBO Max"", ""Telecine Play""]"
"Any[""Ação"", ""Aventura"", ""Guerra""]",2023-04-14,7.3,0,Sem classificação,The Last Kingdom: Seven Kings Must Die,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Terror""]",2023-02-10,6.4,0,12,O Nascimento do Mal,"[""Amazon Prime Video""]"
"Any[""Drama"", ""Romance""]",2018-11-30,7.0,8000000,,Desobediência,"[""Oi Play""]"
"Any[""Comédia"", ""Drama"", ""Romance""]",2003-09-07,7.1,247933248,16,Simplesmente Amor,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Animação"", ""Ficção científica""]",2016-10-14,7.3,2238600,Sem classificação,Gantz: O,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Ação"", ""Drama"", ""Romance"", ""Thriller""]",2007-09-27,7.2,67091915,18,Desejo e Perigo,"[""Amazon Prime Video"", ""MUBI"", ""Belas Artes à La Carte""]"
"Any[""Animação"", ""Comédia"", ""Família"", ""Fantasia""]",2006-06-30,6.7,140175006,L,A Casa Monstro,"[""Netflix"", ""Netflix basic with Ads""]"
"Any[""Comédia"", ""Fantasia""]",1991-11-22,7.0,191502426,12,A Família Addams,"[""Paramount Plus"", ""Globoplay"", ""Paramount Plus Apple TV Channel "", ""Telecine Play""]"
"Any[""Ação"", ""Comédia"", ""Fantasia""]",2013-07-18,5.8,61648500,14,R.I.P.D.: Agentes do Além,"[""Sem informações de streaming""]"
"Any[""Animação"", ""Fantasia"", ""Ficção científica""]",1995-12-23,7.4,0,Sem classificação,Memories,"[""NOW""]"
"Any[""Drama"", ""Terror"", ""Mistério""]",2015-01-27,6.9,40423945,16,A Bruxa,"[""Amazon Prime Video"", ""Globoplay"", ""Telecine Play""]"
"Any[""Drama"", ""Família"", ""Fantasia""]",1946-12-20,8.3,9644124,L,A Felicidade Não Se Compra,"[""Looke"", ""Belas Artes à La Carte"", ""Oldflix"", ""Looke Amazon Channel"", ""Telecine Play""]"
"Any[""Terror"", ""Ficção científica""]",1986-09-23,4.9,0,Sem classificação,美女のはらわた,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2012-09-27,6.3,376141306,14,Busca Implacável 2,"[""Star Plus""]"
"Any[""Ação"", ""Animação"", ""Ficção científica""]",1993-03-06,7.2,21658982,Sem classificação,Dragon Ball Z: O Poder Invencível,"[""Sem informações de streaming""]"
"Any[""Drama"", ""Faroeste""]",1968-12-21,8.3,5380118,14,Era uma Vez no Oeste,"[""Looke"", ""Globoplay"", ""NOW"", ""Telecine Play""]"
"Any[""Comédia""]",2003-10-24,6.0,220673217,14,Todo Mundo em Pânico 3,"[""Netflix"", ""Paramount Plus"", ""Globoplay"", ""Paramount+ Amazon Channel"", ""Netflix basic with Ads"", ""Paramount Plus Apple TV Channel ""]"
"Any[""Comédia"", ""Fantasia""]",1988-03-30,7.4,74800000,L,Os Fantasmas se Divertem,"[""Amazon Prime Video"", ""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Terror"", ""Thriller""]",2020-08-18,4.0,0,Sem classificação,Escape: Puzzle of Fear,"[""Sem informações de streaming""]"
