generos,data_lancamento,avaliacao_usuarios,receita,classificacao,titulo,streaming
"Any[""Ação"", ""Aventura"", ""Animação"", ""Fantasia""]",2022-08-06,7.3,150797338,12,One Piece: Red,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Drama"", ""Ficção científica"", ""Thriller""]",2014-06-26,7.3,710644566,12,Planeta dos Macacos: O Confronto,"[""Star Plus""]"
"Any[""Ação"", ""Crime"", ""Thriller""]",2023-01-13,6.3,0,Sem classificação,Night Train,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Animação"", ""Comédia"", ""Família"", ""Fantasia"", ""Música""]",2017-10-27,8.2,800500000,12,Viva: A Vida é uma Festa,"[""Disney Plus""]"
"Any[""Ação"", ""Aventura"", ""Fantasia""]",2023-04-27,6.6,6794519,12,Os Cavaleiros do Zodíaco - Saint Seiya: O Começo,"[""Sem informações de streaming""]"
"Any[""Aventura"", ""Fantasia""]",2010-11-17,7.8,954305868,10,Harry Potter e as Relíquias da Morte - Parte 1,"[""HBO Max""]"
"Any[""Ação"", ""Crime"", ""Drama"", ""Mistério"", ""Thriller""]",2023-02-03,5.8,0,Sem classificação,The Locksmith,"[""Sem informações de streaming""]"
"Any[""Ação"", ""Aventura"", ""Ficção científica""]",2010-04-28,6.8,623933331,12,Homem de Ferro 2,"[""Disney Plus""]"
"Any[""Comédia"", ""Romance""]",2023-06-15,7.1,82995526,16,Que Horas Eu Te Pego?,"[""HBO Max"", ""NOW"", ""Oi Play""]"
"Any[""Terror"", ""Ficção científica""]",1979-05-25,8.2,104931801,14,Alien: O Oitavo Passageiro,"[""Star Plus""]"
"Any[""Terror"", ""Mistério"", ""Thriller""]",2022-03-17,6.8,14779858,18,X: A Marca da Morte,"[""Amazon Prime Video""]"
"Any[""Ação"", ""Ficção científica"", ""Thriller""]",2022-08-02,7.8,0,Sem classificação,O Predador: A Caçada,"[""Star Plus""]"
